device_id,org_id,os,arch,current_version,ring
dev-675b77,org-11,macos,arm64,v2.98.0,early
dev-dbed18,org-10,macos,amd64,v2.96.0,broad
dev-4c0ad3,org-08,linux,amd64,v2.98.0,broad
dev-af7d85,org-04,macos,arm64,v2.99.0,broad
dev-5b752e,org-06,macos,arm64,v2.98.0,broad
dev-d9f7cc,org-10,macos,amd64,v2.98.0,broad
dev-f9df46,org-10,macos,amd64,v2.99.0,broad
dev-8ae862,org-07,macos,arm64,2.99.0,broad
dev-3430d3,org-02,windows,amd64,v2.99.0,broad
dev-e140a5,org-12,macos,arm64,v2.99.0,early
dev-1ff46f,org-05,macos,arm64,v2.98.0,early
dev-b3b28c,org-06,macos,arm64,v2.101.0,broad
dev-1f6c72,org-10,windows,amd64,v2.99.0,broad
dev-d5e483,org-03,macos,arm64,v2.99.0,broad
dev-b3d564,org-09,macos,arm64,v2.98.0,canary
dev-b27dba,org-08,macos,amd64,v2.99.0,canary
dev-e4dd0b,org-11,linux,armv6,v2.98.0,canary
dev-a1af62,org-02,windows,amd64,v2.99.0,broad
dev-5c3b7d,org-08,macos,arm64,v2.98.0,early
dev-8c2883,org-08,linux,amd64,v2.98.0,broad
dev-60161f,org-08,macos,arm64,v2.98.0,broad
dev-147dff,org-01,macos,arm64,v2.100.0,early
dev-7fb58b,org-05,windows,amd64,v2.99.0,early
dev-19263b,org-09,windows,amd64,v2.98.0,early
dev-acb494,org-11,macos,arm64,v2.99.0,broad
dev-248575,org-06,windows,amd64,v2.99.0,broad
dev-bb98c8,org-03,macos,amd64,v2.97.0,early
dev-899f1d,org-07,windows,amd64,v2.98.0,broad
dev-7c995f,org-09,macos,arm64,v2.98.0,broad
dev-82e924,org-03,windows,amd64,v2.98.0,broad
dev-351b38,org-06,linux,amd64,v2.97.0,early
dev-d4e8fe,org-07,macos,arm64,v2.99.0,early
dev-03df8d,org-08,windows,386,v2.99.0,early
dev-f3e322,org-01,macos,arm64,v2.96.0,early
dev-79ec9b,org-03,macos,arm64,v2.98.0,broad
dev-39e14d,org-03,macos,amd64,v2.97.0,broad
dev-7f208e,org-07,macos,arm64,v2.98.0,canary
dev-b82dfb,org-02,macos,arm64,v2.98.0,early
dev-d1c00c,org-03,linux,amd64,v2.99.0,broad
dev-4f0c88,org-07,windows,amd64,v2.98.0,broad
dev-724f0a,org-04,linux,riscv64,v2.97.0,early
dev-ea4770,org-09,macos,arm64,v2.99.0,early
dev-d4339d,org-02,macos,arm64,v2.99.0,broad
dev-1b9304,org-05,macos,arm64,v2.99.0,broad
dev-582a8e,org-05,macos,amd64,v2.98.0,canary
dev-dd2f06,org-05,macos,arm64,v2.96.0,early
dev-632871,org-07,macos,arm64,2.99.0,canary
dev-695f70,org-03,macos,amd64,v2.96.0,early
dev-7a903a,org-04,macos,arm64,v2.99.0,early
dev-47ded0,org-09,windows,amd64,v2.99.0,early
dev-68a451,org-08,windows,amd64,v2.99.0,broad
dev-1a31c5,org-02,linux,riscv64,v2.98.0,broad
dev-e681a9,org-09,macos,arm64,v2.99.0,broad
dev-23176c,org-08,linux,amd64,v2.97.0,broad
dev-781dbb,org-02,windows,amd64,v2.101.0,canary
dev-5335e1,org-09,macos,arm64,v2.99.0,broad
dev-313389,org-03,macos,arm64,v2.94.0,early
dev-bce092,org-09,macos,arm64,v2.97.0,broad
dev-e772bd,org-02,macos,arm64,v2.98.0,broad
dev-046cb2,org-05,macos,arm64,v2.99.0,early
dev-b91e7d,org-02,macos,arm64,v2.98.0,canary
dev-e1c132,org-11,linux,amd64,2.99.0,broad
dev-44b0ad,org-08,windows,amd64,v2.98.0,broad
dev-918039,org-07,macos,arm64,2.99.0,early
dev-e06ad4,org-06,macos,arm64,v2.98.0,broad
dev-32c683,org-06,macos,amd64,v2.96.0,broad
dev-2f6a33,org-11,macos,amd64,v2.99.0,broad
dev-6dbc2b,org-08,windows,amd64,v2.99.0,broad
dev-73809f,org-09,windows,amd64,v2.99.0,early
dev-882301,org-11,macos,amd64,v2.99.0,early
dev-dd3946,org-10,macos,arm64,v2.95.0,broad
dev-ecfbd3,org-05,macos,amd64,v2.99.0,early
dev-b54975,org-07,macos,amd64,v2.99.0,broad
